Unnamed: 0,data_ref,id_cliente,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda
31,2015-01-01,10508,M,False,True,0,Empresário,Secundário,Solteiro,Com os pais,28,3.512328767123288,1.0,-6829.232412251994
32,2015-01-01,6106,M,True,True,1,Assalariado,Superior incompleto,Casado,Casa,31,1.8301369863013703,3.0,-4215.8894448329875
34,2015-01-01,6539,F,False,True,0,Empresário,Secundário,Casado,Casa,50,1.747945205479452,2.0,6384.170672938675
35,2015-01-01,15235,F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,54,7.958904109589041,1.0,1976.5103711953716
36,2015-01-01,5785,M,False,True,0,Empresário,Secundário,Solteiro,Aluguel,51,4.3780821917808215,1.0,-6699.098170805328
38,2015-01-01,2103,F,False,True,0,Assalariado,Secundário,Casado,Casa,54,3.0904109589041098,2.0,368.82064931239734
39,2015-01-01,4457,F,False,False,0,Assalariado,Secundário,União,Com os pais,30,3.9287671232876713,2.0,-6.340041394583864
40,2015-01-01,1667,F,True,True,1,Empresário,Superior completo,Casado,Casa,45,7.315068493150685,3.0,-1599.5129539056838
42,2015-01-01,1044,F,True,True,1,Assalariado,Secundário,Casado,Casa,41,9.01917808219178,3.0,-418.2120165534907
43,2015-01-01,1851,F,False,True,2,Assalariado,Secundário,Separado,Casa,40,6.594520547945206,3.0,441.1634388093912
44,2015-01-01,13066,F,False,True,0,Servidor público,Superior completo,Separado,Casa,45,25.356164383561644,1.0,11692.791719913981
45,2015-01-01,7153,F,False,True,0,Empresário,Superior completo,Casado,Casa,47,3.2931506849315078,2.0,-1709.4196155920968
46,2015-01-01,14973,F,True,True,2,Empresário,Superior completo,Casado,Casa,37,17.361643835616437,4.0,-966.5549547413284
47,2015-01-01,66,M,False,True,0,Assalariado,Secundário,Casado,Casa,51,17.194520547945206,2.0,6667.914696638167
48,2015-01-01,557,F,True,True,1,Assalariado,Superior completo,Separado,Casa,26,5.778082191780823,2.0,870.5065651609416
49,2015-01-01,6386,M,True,False,2,Empresário,Superior completo,Casado,Casa,39,13.0,4.0,-2693.475010463211
50,2015-01-01,8323,F,True,True,0,Assalariado,Secundário,Casado,Casa,36,14.643835616438356,2.0,-6093.014037230409
51,2015-01-01,81,F,False,True,2,Assalariado,Superior completo,Casado,Casa,30,6.27123287671233,4.0,200.92775691887118
52,2015-01-01,4985,M,False,False,0,Servidor público,Secundário,Solteiro,Casa,41,6.049315068493152,1.0,-1476.1276462153219
53,2015-01-01,12416,F,False,True,0,Servidor público,Superior completo,União,Casa,45,7.534246575342466,2.0,4461.041809475742
56,2015-01-01,605,M,True,True,2,Assalariado,Superior completo,Casado,Casa,37,0.4383561643835616,4.0,-2875.6466856850943
57,2015-01-01,4991,F,True,True,0,Assalariado,Secundário,Solteiro,Casa,52,10.720547945205482,1.0,-2912.27910221454
58,2015-01-01,6932,F,False,False,0,Assalariado,Secundário,Casado,Governamental,50,0.3753424657534247,2.0,4673.65407216327
59,2015-01-01,2731,M,False,True,0,Empresário,Secundário,Casado,Casa,34,11.065753424657538,2.0,-7570.63469421389
60,2015-01-01,4311,F,True,True,0,Empresário,Superior completo,Casado,Casa,35,0.8383561643835616,2.0,1354.809104581308
61,2015-01-01,650,F,False,True,0,Assalariado,Secundário,União,Casa,58,3.024657534246576,2.0,1526.2633811580436
62,2015-01-01,6834,F,True,True,1,Servidor público,Superior completo,Casado,Casa,41,4.4602739726027405,3.0,1602.9271410640358
63,2015-01-01,11068,F,False,True,1,Servidor público,Superior completo,União,Casa,46,25.19178082191781,3.0,-2198.196012983739
64,2015-01-01,2937,M,False,True,0,Assalariado,Secundário,Casado,Casa,53,12.473972602739725,2.0,-6943.960039938595
65,2015-01-01,962,F,True,False,1,Assalariado,Superior completo,União,Casa,31,2.0136986301369864,3.0,3902.297638041278
66,2015-01-01,9300,F,True,False,0,Servidor público,Secundário,Casado,Casa,46,8.01917808219178,2.0,-1380.5102010285077
67,2015-01-01,5343,F,False,True,0,Empresário,Superior completo,União,Casa,30,0.7589041095890411,2.0,1212.2092724466781
68,2015-01-01,2527,F,True,True,0,Assalariado,Secundário,Casado,Casa,37,3.1178082191780816,2.0,1810.2058119491362
69,2015-01-01,557,F,True,True,1,Assalariado,Superior completo,Separado,Casa,26,5.778082191780823,2.0,870.5065651609416
70,2015-01-01,15605,M,False,True,0,Assalariado,Secundário,Casado,Casa,42,9.627397260273971,2.0,-2316.065877038989
72,2015-01-01,3433,F,True,True,0,Assalariado,Superior completo,Separado,Casa,47,23.2027397260274,1.0,-9088.961587791242
73,2015-01-01,13235,M,False,True,0,Assalariado,Secundário,Casado,Casa,56,36.865753424657534,2.0,36659.47622893327
74,2015-01-01,15690,F,False,False,1,Empresário,Secundário,Casado,Casa,38,2.180821917808219,3.0,3002.12855544837
75,2015-01-01,2850,F,False,True,0,Assalariado,Secundário,Casado,Casa,37,1.1369863013698631,2.0,1478.3747996129564
76,2015-01-01,16073,M,True,False,1,Assalariado,Superior completo,Casado,Casa,26,1.3753424657534246,3.0,-3259.404064413332
77,2015-01-01,13808,M,True,False,0,Assalariado,Superior completo,Casado,Casa,45,4.287671232876712,2.0,4972.468457523866
78,2015-01-01,6028,M,True,True,0,Assalariado,Secundário,Casado,Casa,36,2.2164383561643834,2.0,-5411.534379805339
79,2015-01-01,15266,M,True,False,0,Empresário,Secundário,Casado,Aluguel,29,4.035616438356166,2.0,9506.399981355382
80,2015-01-01,10291,F,True,True,0,Empresário,Secundário,Casado,Casa,50,19.30958904109589,2.0,-5505.241444523413
81,2015-01-01,3532,F,False,True,2,Empresário,Secundário,Casado,Casa,42,1.6821917808219178,4.0,-414.85601189812917
82,2015-01-01,10326,F,False,False,0,Empresário,Superior completo,Casado,Com os pais,54,4.216438356164384,2.0,-1583.0358707650967
84,2015-01-01,8874,F,False,True,0,Empresário,Superior completo,Solteiro,Casa,56,25.394520547945213,1.0,42200.1005160981
85,2015-01-01,5250,F,False,False,0,Empresário,Secundário,Casado,Casa,43,0.4301369863013699,2.0,2374.045391399642
86,2015-01-01,4995,M,True,True,1,Assalariado,Superior completo,Casado,Casa,32,10.63835616438356,3.0,484.69378409638557
87,2015-01-01,13466,M,True,False,0,Assalariado,Secundário,Casado,Casa,27,7.019178082191781,2.0,13912.300825306786
88,2015-01-01,10931,F,False,False,1,Empresário,Superior completo,Casado,Casa,34,3.602739726027397,3.0,785.0879689781166
89,2015-01-01,10212,F,False,True,1,Empresário,Secundário,Casado,Casa,46,7.805479452054794,3.0,1386.8137833879446
90,2015-01-01,1407,F,False,True,0,Assalariado,Secundário,Casado,Casa,26,3.6821917808219182,2.0,1012.5723404898806
91,2015-01-01,2286,F,True,True,0,Empresário,Superior completo,Viúvo,Casa,53,14.6,1.0,464.84050479810867
92,2015-01-01,12159,M,True,True,1,Assalariado,Superior completo,Casado,Casa,37,0.2657534246575343,3.0,-2834.321504187417
93,2015-01-01,4778,F,True,True,1,Empresário,Secundário,Casado,Casa,37,4.608219178082192,3.0,-1809.2743218573942
95,2015-01-01,15687,F,False,True,0,Assalariado,Secundário,Casado,Casa,53,6.016438356164382,2.0,-1134.0345217527165
96,2015-01-01,13500,M,True,False,2,Assalariado,Superior completo,Casado,Com os pais,31,13.852054794520548,4.0,-3296.822903342034
97,2015-01-01,4544,M,False,True,0,Assalariado,Secundário,União,Casa,41,4.178082191780821,2.0,-5972.839145907285
98,2015-01-01,238,M,True,False,0,Empresário,Secundário,Casado,Casa,32,3.1890410958904107,2.0,4113.898344776509
99,2015-01-01,13001,M,True,False,1,Empresário,Superior completo,Solteiro,Estúdio,59,11.6,2.0,-9125.355066066857
100,2015-01-01,9316,F,False,False,1,Assalariado,Secundário,Casado,Casa,38,2.0136986301369864,3.0,1720.9856311060412
101,2015-01-01,2453,M,False,True,1,Assalariado,Superior completo,Casado,Casa,37,14.95890410958904,3.0,-2338.1651291404887
102,2015-01-01,16231,F,False,True,0,Empresário,Secundário,Casado,Casa,46,2.5424657534246577,2.0,2717.2216192139467
103,2015-01-01,8470,F,False,False,0,Empresário,Superior completo,Casado,Com os pais,42,1.1315068493150684,2.0,3127.924781860146
104,2015-01-01,12563,F,True,False,0,Assalariado,Secundário,Casado,Casa,46,1.8657534246575345,2.0,4126.523493035207
106,2015-01-01,14790,M,True,False,2,Empresário,Secundário,Casado,Casa,40,19.06027397260274,4.0,15172.089123897433
108,2015-01-01,14895,M,False,False,0,Assalariado,Secundário,Casado,Casa,40,5.717808219178082,2.0,3504.158387211137
109,2015-01-01,4756,F,True,True,2,Assalariado,Superior incompleto,Casado,Casa,31,0.3534246575342465,4.0,2643.38940727706
110,2015-01-01,4951,F,False,False,1,Assalariado,Secundário,Separado,Casa,45,2.7150684931506848,2.0,379.95129935484545
111,2015-01-01,15650,M,False,False,0,Assalariado,Superior completo,União,Casa,41,0.5452054794520548,2.0,-3702.9086825476306
112,2015-01-01,8584,F,False,True,2,Assalariado,Superior completo,Casado,Casa,37,15.646575342465756,4.0,-4745.232045017188
113,2015-01-01,3417,F,True,True,0,Assalariado,Superior completo,Casado,Casa,34,2.2575342465753425,2.0,1458.3564655605971
114,2015-01-01,4543,M,False,True,0,Assalariado,Secundário,União,Casa,41,4.178082191780821,2.0,-6544.459145907285
116,2015-01-01,9345,F,True,False,0,Assalariado,Superior completo,Casado,Casa,55,6.934246575342466,2.0,-2532.31140113078
117,2015-01-01,12740,M,False,False,0,Assalariado,Secundário,União,Casa,62,0.2794520547945205,2.0,-5455.165931841044
118,2015-01-01,6490,F,False,True,0,Assalariado,Secundário,Viúvo,Casa,50,14.756164383561645,1.0,-412.7544390596895
119,2015-01-01,281,M,True,False,0,Assalariado,Secundário,Casado,Casa,52,0.2712328767123288,2.0,995.3624200425165
120,2015-01-01,4715,M,False,True,2,Servidor público,Secundário,Casado,Casa,38,18.86575342465753,4.0,21474.327220695453
121,2015-01-01,1365,M,True,True,0,Empresário,Secundário,União,Casa,32,4.586301369863014,2.0,-930.2659582322804
122,2015-01-01,13508,F,False,False,1,Assalariado,Superior completo,Casado,Casa,44,5.5178082191780815,3.0,3138.8941150737855
123,2015-01-01,9904,M,True,True,0,Empresário,Secundário,Casado,Casa,28,3.095890410958904,2.0,-5732.361656892517
124,2015-01-01,1183,F,False,True,1,Assalariado,Secundário,Solteiro,Casa,49,15.26027397260274,2.0,638.2737302553032
125,2015-01-01,11805,F,True,True,1,Empresário,Secundário,Casado,Casa,30,2.345205479452055,3.0,6231.437842491834
126,2015-01-01,5334,M,True,True,2,Assalariado,Secundário,União,Casa,35,13.186301369863012,4.0,-7174.333088603478
127,2015-01-01,8588,F,True,True,0,Empresário,Secundário,Casado,Casa,39,5.304109589041096,2.0,-1844.6492778136537
128,2015-01-01,5776,F,False,False,0,Empresário,Secundário,Casado,Casa,49,11.63013698630137,2.0,-5969.028899663972
129,2015-01-01,2555,M,True,True,1,Assalariado,Secundário,Casado,Casa,47,0.5561643835616439,3.0,-2271.2510258211496
130,2015-01-01,4272,F,True,True,0,Servidor público,Superior completo,Solteiro,Casa,60,41.2,1.0,-7167.865510837211
131,2015-01-01,9246,F,True,True,0,Assalariado,Superior completo,União,Casa,31,5.512328767123288,2.0,9337.066760290927
134,2015-01-01,12747,F,False,True,0,Empresário,Secundário,Casado,Casa,55,3.032876712328767,2.0,4003.1246342958766
135,2015-01-01,1691,F,False,False,0,Empresário,Secundário,Casado,Casa,56,5.06027397260274,2.0,-889.6224108622214
137,2015-01-01,14210,F,True,True,0,Empresário,Secundário,Solteiro,Casa,51,0.873972602739726,1.0,808.1564639758485
139,2015-01-01,10693,F,True,True,1,Empresário,Superior incompleto,Casado,Casa,46,0.3479452054794521,3.0,2743.39178397013
140,2015-01-01,9703,F,False,True,0,Assalariado,Secundário,Casado,Casa,50,11.268493150684929,2.0,-4505.685612924081
141,2015-01-01,11691,F,False,True,0,Empresário,Superior completo,Solteiro,Comunitário,33,6.076712328767122,1.0,5046.808296665044
142,2015-01-01,2160,M,False,False,1,Assalariado,Secundário,Separado,Com os pais,42,4.424657534246577,2.0,-2143.776381962364
143,2015-01-01,15447,M,True,False,0,Assalariado,Secundário,Casado,Casa,24,6.372602739726028,2.0,-1987.8096981741128
144,2015-01-01,10624,M,False,True,0,Empresário,Secundário,Casado,Casa,57,0.8438356164383561,2.0,-994.3828413211877
145,2015-01-01,2633,F,True,True,2,Assalariado,Secundário,Casado,Casa,33,0.726027397260274,4.0,4991.591616665657
146,2015-01-01,1641,M,True,True,0,Assalariado,Secundário,Casado,Casa,50,5.06027397260274,2.0,-8017.523288828021
147,2015-01-01,15629,M,True,True,0,Assalariado,Secundário,Casado,Casa,51,5.5479452054794525,2.0,-6667.416151828081
148,2015-01-01,11053,M,True,True,0,Empresário,Secundário,Casado,Casa,49,9.523287671232875,2.0,-3033.4153887069733
149,2015-01-01,14550,M,True,False,0,Empresário,Secundário,Casado,Casa,44,8.219178082191782,2.0,-3242.626099330495
150,2015-01-01,5131,F,False,True,0,Empresário,Secundário,Casado,Casa,45,7.638356164383563,2.0,167.32988074945933
151,2015-01-01,4499,F,True,False,0,Empresário,Superior completo,Casado,Casa,53,4.597260273972604,2.0,-1358.2797146660496
153,2015-01-01,6954,M,True,True,1,Assalariado,Secundário,Casado,Casa,31,2.375342465753425,3.0,1587.6310136108568
154,2015-01-01,2550,F,True,True,1,Assalariado,Secundário,Casado,Casa,38,15.232876712328768,3.0,537.7165953595122
155,2015-01-01,6344,F,False,False,0,Assalariado,Superior completo,Casado,Casa,36,7.249315068493152,2.0,248.38522289608682
156,2015-01-01,6652,F,False,True,0,Assalariado,Secundário,Casado,Casa,54,4.312328767123288,2.0,-14.557619702905413
157,2015-01-01,5339,M,True,True,2,Assalariado,Secundário,União,Casa,35,13.186301369863012,4.0,-7439.253088603478
158,2015-01-01,7755,F,False,True,0,Servidor público,Primário,Viúvo,Casa,51,7.104109589041097,1.0,-2079.6357282919953
159,2015-01-01,13770,M,True,True,2,Assalariado,Secundário,Casado,Casa,31,7.958904109589041,4.0,-5968.44358785369
160,2015-01-01,11944,M,True,False,0,Assalariado,Secundário,Casado,Casa,57,1.326027397260274,2.0,-1667.820043270045
162,2015-01-01,7165,F,False,False,1,Assalariado,Secundário,União,Com os pais,30,1.9616438356164383,3.0,688.1269477376752
163,2015-01-01,3176,M,False,False,0,Assalariado,Secundário,Casado,Casa,56,11.227397260273971,2.0,-6037.182866606373
164,2015-01-01,5601,F,False,False,0,Empresário,Secundário,Casado,Casa,55,22.38630136986301,2.0,-8345.668438304983
165,2015-01-01,13415,F,True,False,0,Empresário,Superior completo,Solteiro,Casa,38,8.186301369863013,1.0,496.29239921172393
166,2015-01-01,14046,F,False,False,0,Servidor público,Superior completo,Casado,Casa,31,6.043835616438357,2.0,-694.1862836303753
168,2015-01-01,11867,F,False,False,0,Assalariado,Superior completo,Separado,Casa,52,2.7452054794520557,1.0,6875.954895650172
171,2015-01-01,7967,M,True,True,0,Assalariado,Superior completo,Casado,Casa,51,1.4684931506849317,2.0,-5762.340989129008
172,2015-01-01,16458,F,True,True,1,Empresário,Secundário,Casado,Governamental,44,21.86027397260274,3.0,-9731.173279441426
173,2015-01-01,7577,F,False,True,0,Assalariado,Secundário,Solteiro,Casa,48,21.03013698630137,1.0,-5408.526335962018
175,2015-01-01,7257,F,False,True,0,Assalariado,Secundário,Casado,Casa,42,4.046575342465753,2.0,343.3617351269413
176,2015-01-01,4664,F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,24,3.104109589041096,1.0,2156.540109074709
177,2015-01-01,6744,F,False,True,1,Servidor público,Superior completo,Casado,Casa,36,13.136986301369864,3.0,-2931.700152444828
178,2015-01-01,12576,F,False,False,0,Assalariado,Secundário,Casado,Casa,51,25.54794520547945,2.0,-6938.260144710956
179,2015-01-01,10136,F,False,True,2,Assalariado,Secundário,Casado,Casa,39,18.13972602739726,4.0,3268.3007916856604
180,2015-01-01,15824,M,False,True,0,Empresário,Superior completo,Casado,Casa,31,1.1232876712328768,2.0,-3438.139014177022
181,2015-01-01,1032,M,False,True,1,Assalariado,Secundário,Casado,Casa,37,1.7534246575342465,3.0,-557.1685447150167
182,2015-01-01,8091,M,True,True,0,Assalariado,Secundário,Casado,Casa,42,9.252054794520548,2.0,-3155.9411172741975
183,2015-01-01,4531,F,False,False,0,Assalariado,Secundário,Casado,Casa,53,3.4301369863013704,2.0,-513.2867462043747
184,2015-01-01,15199,M,False,True,1,Empresário,Secundário,União,Casa,46,14.375342465753429,3.0,-8606.02812275674
185,2015-01-01,1048,F,False,True,2,Assalariado,Primário,Casado,Casa,36,14.257534246575348,4.0,5870.6923213596265
186,2015-01-01,14450,M,False,True,0,Assalariado,Secundário,Casado,Casa,30,4.454794520547946,2.0,-4585.560648203746
187,2015-01-01,3079,F,False,True,0,Assalariado,Superior completo,Separado,Casa,60,4.216438356164384,1.0,4704.596078359251
188,2015-01-01,13193,M,True,True,0,Assalariado,Secundário,União,Casa,49,18.523287671232875,2.0,17253.074269629615
189,2015-01-01,12184,M,True,False,0,Empresário,Secundário,Casado,Casa,31,5.6054794520547935,2.0,-3846.7024809145105
190,2015-01-01,2750,F,False,True,0,Assalariado,Secundário,Casado,Casa,43,8.312328767123287,2.0,-2306.9023228778315
191,2015-01-01,10723,M,False,False,1,Assalariado,Secundário,Casado,Casa,30,3.4356164383561643,3.0,2574.5584953339403
193,2015-01-01,15622,F,False,True,0,Assalariado,Secundário,Casado,Casa,50,5.958904109589041,2.0,2356.2090179092293
194,2015-01-01,8507,F,True,True,1,Assalariado,Secundário,Casado,Casa,35,2.5506849315068494,3.0,1589.5019817087145
196,2015-01-01,9516,M,False,False,0,Assalariado,Secundário,Solteiro,Com os pais,24,2.5945205479452054,1.0,-1732.638503169398
197,2015-01-01,8333,F,False,True,3,Empresário,Secundário,Solteiro,Casa,32,13.895890410958906,4.0,-120.31074987391003
198,2015-01-01,8554,F,False,True,1,Assalariado,Superior completo,Casado,Casa,50,27.65479452054794,3.0,-11398.786256378176
199,2015-01-01,8819,F,False,True,1,Assalariado,Secundário,Casado,Casa,38,0.7150684931506849,3.0,1528.3646391085942
200,2015-01-01,10983,F,False,False,0,Empresário,Superior completo,Casado,Com os pais,27,3.764383561643836,2.0,632.9263932409256
202,2015-01-01,1419,F,False,True,2,Assalariado,Secundário,Casado,Com os pais,37,1.0027397260273974,4.0,3572.894385222261
203,2015-01-01,9948,F,False,False,0,Empresário,Secundário,Casado,Casa,39,3.175342465753425,2.0,-917.6582532194709
205,2015-01-01,8768,M,True,True,0,Assalariado,Secundário,Casado,Casa,46,9.704109589041096,2.0,2215.7360700784157
206,2015-01-01,4397,F,False,False,1,Empresário,Superior completo,Separado,Casa,40,7.761643835616439,2.0,-1139.329076862788
207,2015-01-01,2805,M,True,True,0,Assalariado,Primário,Separado,Casa,52,10.47945205479452,1.0,-5110.357338466751
208,2015-01-01,10248,F,False,False,0,Empresário,Secundário,União,Casa,41,3.7178082191780817,2.0,3826.829174377762
209,2015-01-01,15485,F,False,True,1,Assalariado,Secundário,Casado,Casa,40,21.55068493150685,3.0,-8170.848557949665
210,2015-01-01,15811,F,True,True,0,Empresário,Superior completo,União,Casa,38,10.438356164383563,2.0,-2829.7766121665136
211,2015-01-01,2060,M,False,True,0,Assalariado,Secundário,Casado,Casa,38,10.427397260273972,2.0,-967.6257301763417
212,2015-01-01,15422,M,False,False,1,Assalariado,Superior completo,Casado,Casa,27,4.035616438356166,3.0,-4886.593894519077
214,2015-01-01,488,M,False,False,1,Assalariado,Secundário,Solteiro,Casa,46,18.035616438356165,2.0,1646.6010159720881
215,2015-01-01,14110,M,True,False,0,Assalariado,Superior completo,Casado,Casa,28,8.208219178082192,2.0,-6081.61436250923
216,2015-01-01,10297,F,False,True,0,Assalariado,Superior completo,Solteiro,Com os pais,27,6.216438356164384,1.0,22463.010896874504
217,2015-01-01,2253,M,True,True,1,Assalariado,Secundário,Casado,Casa,31,10.427397260273972,3.0,-9267.643723241104
218,2015-01-01,6535,F,False,True,0,Empresário,Secundário,Casado,Casa,50,1.747945205479452,2.0,3441.7206729386753
219,2015-01-01,10339,F,False,True,1,Assalariado,Secundário,Casado,Casa,31,6.383561643835616,3.0,-2137.7503463163966
220,2015-01-01,13914,M,True,True,0,Empresário,Secundário,Casado,Casa,31,11.043835616438356,2.0,12329.433649265999
221,2015-01-01,15178,M,False,True,1,Empresário,Superior incompleto,Casado,Casa,34,3.202739726027397,3.0,-5959.397537097474
224,2015-01-01,10810,M,False,False,1,Assalariado,Secundário,Casado,Casa,27,1.5178082191780822,3.0,-3905.1865644180352
225,2015-01-01,2573,M,False,False,0,Empresário,Secundário,União,Casa,32,0.8082191780821918,2.0,-1604.6343104380703
226,2015-01-01,15295,M,True,False,1,Assalariado,Secundário,Casado,Casa,33,0.536986301369863,3.0,-3264.5637612169935
227,2015-01-01,9376,F,False,False,0,Servidor público,Secundário,Separado,Casa,53,33.78630136986301,1.0,-5208.581445831289
228,2015-01-01,11856,M,True,False,2,Assalariado,Superior completo,Casado,Casa,43,18.336986301369866,4.0,-3370.7278058928823
229,2015-01-01,16124,F,True,True,1,Assalariado,Superior completo,Separado,Casa,51,16.386301369863013,2.0,-4542.433979591993
230,2015-01-01,10276,M,False,True,0,Empresário,Secundário,Solteiro,Casa,40,16.13972602739726,1.0,-944.7352419631097
231,2015-01-01,3605,F,False,True,0,Empresário,Secundário,Solteiro,Casa,49,1.5205479452054795,1.0,-88.77443616093842
232,2015-01-01,664,M,False,False,1,Assalariado,Secundário,Casado,Casa,24,1.356164383561644,3.0,-2853.1178359162204
233,2015-01-01,6606,F,False,True,0,Empresário,Secundário,Solteiro,Com os pais,35,4.6,1.0,12912.500307814467
234,2015-01-01,10760,F,False,False,0,Assalariado,Secundário,Casado,Casa,51,30.117808219178084,2.0,-11505.75685483994
235,2015-01-01,4172,F,False,True,0,Assalariado,Secundário,Solteiro,Casa,47,5.846575342465752,1.0,1490.250551697423
236,2015-01-01,1911,F,False,True,1,Assalariado,Secundário,Viúvo,Casa,42,0.8356164383561644,2.0,1625.1101909250017
238,2015-01-01,10292,F,True,True,0,Empresário,Secundário,Casado,Casa,50,19.30958904109589,2.0,-6713.871444523413
240,2015-01-01,15644,F,False,False,0,Assalariado,Secundário,Casado,Casa,43,5.715068493150685,2.0,772.3070514957599
241,2015-01-01,14210,F,True,True,0,Empresário,Secundário,Solteiro,Casa,51,0.873972602739726,1.0,808.1564639758485
242,2015-01-01,7196,F,False,True,0,Empresário,Secundário,Casado,Casa,48,8.967123287671232,2.0,-2643.5691226414106
243,2015-01-01,12146,F,False,True,0,Empresário,Secundário,Casado,Casa,48,3.276712328767123,2.0,4247.471067369315
245,2015-01-01,16043,F,False,True,0,Assalariado,Secundário,Casado,Casa,60,39.48767123287672,2.0,-3556.3797407057973
247,2015-01-01,15632,F,False,True,1,Servidor público,Secundário,União,Com os pais,40,15.975342465753426,3.0,-6202.2911092902605
248,2015-01-01,13402,F,False,True,1,Assalariado,Secundário,Casado,Casa,29,0.3479452054794521,3.0,9315.91363724261
249,2015-01-01,13959,F,False,True,0,Assalariado,Secundário,Casado,Aluguel,39,7.120547945205479,2.0,-2427.9315895261157
251,2015-01-01,12106,F,True,False,1,Empresário,Superior completo,Casado,Casa,30,5.657534246575342,3.0,919.7850503497125
252,2015-01-01,7168,F,True,False,0,Assalariado,Secundário,Casado,Casa,53,11.134246575342466,2.0,-4106.570720354671
253,2015-01-01,13973,F,False,True,0,Assalariado,Secundário,Casado,Casa,60,2.0383561643835617,2.0,-779.5261551224393
254,2015-01-01,8249,M,True,False,1,Servidor público,Secundário,Casado,Casa,59,11.895890410958906,3.0,2410.0185055378242
255,2015-01-01,9324,F,False,False,0,Assalariado,Secundário,Casado,Com os pais,54,3.263013698630137,2.0,-748.7440793957842
257,2015-01-01,4622,F,True,False,1,Empresário,Superior completo,Solteiro,Casa,27,4.523287671232877,2.0,1690.3556745924077
258,2015-01-01,15330,M,True,False,1,Assalariado,Superior completo,Solteiro,Casa,40,17.043835616438358,2.0,755.8060013159302
259,2015-01-01,13254,F,True,True,2,Assalariado,Secundário,Casado,Casa,36,3.3479452054794514,4.0,1784.113951895362
261,2015-01-01,185,F,False,False,0,Assalariado,Superior completo,Separado,Casa,44,19.45205479452055,1.0,5331.5212087692325
